"","Hotel_name","Location","Price","Discount","Rating"
"42","Townhouse OAK SRK White Inn Near Ragigudda Sri Prasanna Anjaneyaswamy Temple","Koramangala, Bangalore","1427","65% off","1603"
"43","OYO Sai Ram Residency","Cubbonpet Main Road, Bangalore","1092","67% off","207"
"44","Super OYO Nar Comforts Near Majestic & near KSR Railway station","NAR Comforts,13, G.K temple street, opp. Vijayalaxmi theater, Chickpet, Bangalore","1338","64% off","1682"
"45","Flagship Hotel Royal Comfort Near Cubbon Park","Gandhinagar, Bangalore","1357","65% off","60"
"46","Super OYO Capital O Choice Regal Suites Near Ragigudda Sri Prasanna Anjanayeswamy Temple","Centrally Located, Near Sagar Hospital, Hombegowda Nagar, Bangalore","1753","65% off","1337"
"47","Capital O Champion Lotus Near Mantri Square Mall","Near IIFT, Vijayanagar, Bangalore","1339","65% off","1342"
"48","OYO Hotel Blue Inn","Near Bilal masjid, Gurappanapalya, Bangalore","1351","67% off","1393"
"49","OYO Hotel Silver House Near Mantri Square Mall","Arghar Dasrahalli Near Madhu Hospital Opp Maharaja Tent House Reliance Smart Building Magadi Main Road, Bangalore","844","65% off","494"
"50","Super OYO Flagship Vsv Avenue Hennur Near Sri Amruth Chithra Mandira"," landmark Krishna Medical Store) Oposite Krishna Leela Grand Hotel, Bangalore","1264","65% off","299"
"51","Super OYO  Design Oyo Townhouse OAK Clove Boutique Hotel Rajaji Nagar","4th Block, Rajaji Nagar, Bangalore","3053","65% off","1360"
"52","Collection O Hotel Palm Tree","Near Halasuru Metro Station, Ulsoor, Bangalore","2566","65% off","1271"
"53","OYO Townhouse 76427 Hotel Skyline Near Banashankari Metro Station","B S K 2nd Stage, Bangalore","1406","65% off","352"
"54","OYO Flagship HOTEL SKYSPACE Near Hare Krishna Hill","Yeswantpur Near Railway Station, Bangalore","1140","65% off","358"
"55","SPOT ON 810480 Canton Lodging And Boarding","Karnataka, Bangalore","872","67% off","17"
"56","Collection O Onyx International Near Ragigudda Sri Prasanna Anjaneyaswamy Temple","Karnatakanull, Bangalore","1334","67% off","332"
"57","OYO Mn Residency Near Ragigudda Sri Prasanna Anjaneyaswamy Temple","Madiwala,  South Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka, - 560034, India Bangalore.","1257","67% off","1061"
"58","OYO Home Leva Homes Near Baiyappanahalli Metro Station","Mahadevapura Zone, Bangalore","1236","65% off","1013"
"59","Super OYO Capital O Chetana Inn","Centrally Located, Near Shanti Niketan School, Kodigehalli, Bangalore","1352","64% off","1549"
"60","Super OYO Capital O Choice Regal Suites Near Ragigudda Sri Prasanna Anjanayeswamy Temple","Centrally Located, Near Sagar Hospital, Hombegowda Nagar, Bangalore","1753","65% off","1337"
"61","Super OYO Capital O Blooms Stay Inn Near Snow City","Bangalore Urban, Bangalore","2063","65% off","663"
"62","Super OYO Townhouse 273 Hosur Main Road Bommanahalli Near Gopalan Innovation Mall","Near krishna Theature Bommanahalli, Hosur main road, Bangalore","2302","65% off","1983"
"63","OYO Nra Residency Near Rajarajeshwari Nagar Metro Station","Rajarajeshwari Nagar, Bangalore","759","68% off","416"
"64","Super OYO Flagship Vsv Avenue Hennur Near Sri Amruth Chithra Mandira"," landmark Krishna Medical Store) Oposite Krishna Leela Grand Hotel, Bangalore","1264","65% off","299"
"65","Super OYO Capital O SS Suites Near Ragigudda Sri Prasanna Anjaneyaswamy Temple","Above Vishal Mega mart","1513","67% off","1488"
"66","Collection O Nandi Comforts","Yeshwantpur, Bangalore","872","70% off","52"
"67","Flagship Hotel Royal Comfort Near Cubbon Park","Gandhinagar, Bangalore","1357","65% off","60"
"68","Capital O Hotel Shanti Nivas Near Hare Krishna Hill","Near Yeshwanthpur , Sri Raghavendra Layout, Bangalore","1159","65% off","807"
"69","Capital O Prime Residency","Near Perseverance HBR, Saint Thomas Town, Bangalore","1339","65% off","795"
"70","Capital O Safari Rooms Near Snow City","India Bangalore Karnatakaindia, Bangalore","1316","68% off","160"
"71","Super OYO Capital O Chetana Clove","Near Shanti Niketan School, Maruthinagar, Bangalore","1397","65% off","1653"
"72","Super OYO Collection O 85404 Valleyton Park","Near Manyata Tech Park,HBR Layout,Outer Ring Road,Bangalore","1261","68% off","593"
"73","OYO Townhouse 76427 Hotel Skyline Near Banashankari Metro Station","B S K 2nd Stage, Bangalore","1406","65% off","352"
"74","OYO Flagship HOTEL SKYSPACE Near Hare Krishna Hill","Yeswantpur Near Railway Station, Bangalore","1140","65% off","358"
"75","SPOT ON Janapriya Lodge Near Hare Krishna Hill","Bangalore Urban, Bangalore","781","67% off","372"
"76","Santa Maria Near Indiranagar Metro Station","Jeevan Bhima Nagar, Bangalore","1384","65% off","707"
"77","Super OYO Townhouse 149 Siri Residency","Bhuvaneswari Nagar, Bangalore","1716","64% off","887"
"78","Super OYO Capital O High end Withinn Hotel Near Hare Krishna Hill","Near NIAS, Mathikere Extension, Bangalore","1873","65% off","993"
"79","Collection O Royal Elevar","Dasarahalli, Bangalore","1018","65% off","630"
"80","OYO Mn Residency Near Ragigudda Sri Prasanna Anjaneyaswamy Temple","Madiwala,  South Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka, - 560034, India Bangalore.","1257","67% off","1061"
"81","OYO The Royal International Hotel","Near Robert Bosch Company, Mangammanapalya, Bangalore","1140","65% off","822"
"82","SPOT ON 76191 Sahara Lodge","Yeshwanthapura, Bangalore","670","68% off","353"
"83","OYO Hotel Golden Arch Near Palace Ground","Near Vijayanagar police station, MC Layout, Bangalore","1077","67% off","202"
"84","Collection O Onyx International Near Ragigudda Sri Prasanna Anjaneyaswamy Temple","Karnatakanull, Bangalore","1334","67% off","332"
"85","Collection O Hotel Supreme Suites Near Sri Amruth Chithra Mandira","14/15 14 And 15 L V Complex Munireddy Layout Horamavu Banaswadi, Bangalore","1023","67% off","126"
"86","Collection O Hotel Status Executive Room's","Near Old Airport Road, Bangalore","1344","69% off","39"
"87","Super OYO Collection O Ctc Gardenia Residency Near Lalbagh Botanical Garden","Opp Urvashi Theatre, Bangalore","1921","65% off","318"
"88","SPOT ON Srinivasa Boarding And Lodging Near Vijayanagar Metro Station","Near N R Colony, Sajjepalya, Bangalore","670","67% off","432"
"89","OYO Flagship 37297 N R Deluxe","Near Prashant Hospital, Bangalore","649","85% off","59"
"90","Capital O N R Comforts Near Nexus Mall Koramangala","Koramangala, Bangalore","1095","64% off","178"
"91","Capital O Royal Manyata","Gate Number 4, Bangalore","1194","65% off","854"
"92","Super OYO Townhouse 490 Indiranagar Extn","Bangalore, Bangalore","1473","67% off","923"
"93","Collection O Sln Suites","Behind Baptist Hospital, Hebbal","1670","65% off","244"
"94","Capital O Elite Stay Jp Nagar Near Ragigudda Sri Prasanna Anjaneyaswamy Temple","6th Phase, Bangalore","1452","65% off","926"
"95","Flagship Sai Vishram","26/1 sheshadri Road  Anandrao Circle Gandhi Nagar, Bangalore","1061","65% off","38"
"96","Super OYO Flagship Blooms Residency Near Baiyappanahalli Metro Station","Bangalore East, Bangalore","1800","65% off","750"
"97","OYO Royal Grand Residency Near Lalbagh Botanical Garden","Bangalore Karnataka, Bangalore","1164","64% off","586"
"98","OYO Flagship Varcity Plaza Near Ragigudda Sri Prasanna Anjaneyaswamy Temple","Near Cross Road, Maruti Nagar, Bangalore","1272","75% off","588"
"99","OYO 18544 Amm Residency","Mavalli, Bengaluru","1191","67% off","2"
"100","Townhouse 038 Global Wings Hotels Near Sri Amruth Chithra Mandira","Kammanahalli, Bangalore","1517","65% off","675"
"101","Flagship Gn Nelli Rooms Near CMR University","Bengalore-43, Bangalore","1050","64% off","240"
"102","Townhouse OAK Hotel Prime","Near Karnataka Bank, Babusapalya Main Road, Bangalore","2061","65% off","917"
"103","OYO Hotel Blue Inn","Near Bilal masjid, Gurappanapalya, Bangalore","1351","67% off","1393"
"104","OYO Hotel Fiesta Grand","Near Mariyappa Road, Jayanagar Ward, Bangalore","1262","64% off","225"
"105","Collection O Tierra Woods","Bangalore , Bangalore","1628","65% off","102"
"106","OYO Flagship 79381 DM Residency Near Goraguntepalya Metro Station","Rajarajeshwari Nagar Zone, Bangalore","977","67% off","179"
"107","OYO Flagship 811000 Atithi Comforts","Yeshwantpur, Bangalore","981","67% off","6"
"108","OYO Royal Inn Near Iskcon Temple Bangalore","Near 14th Main Road, Rajaji Nagar, Bangalore","988","67% off","278"
"109","OYO Flagship 810144 Sunder Nivas","Yeshwantpur, Bangalore","911","67% off","28"
"110","Super OYO Capital O King Suites -hennur Near D Mart","East Zone, Bangalore","1293","65% off","164"
"111","Super OYO Capital O Savi International Near Bengaluru Palace","Near Mantri Square Mall, Sheshadripuram, Bangalore","2099","65% off","1044"
"112","OYO Hotel Diva Residency Near Nayandahalli Metro Station","Near Syndicate Bank, Gandhi Nagar, Banglore","1228","68% off","20"
"113","OYO Home Exotic Stay Bsk 3rd Stage","Katriguppe, Bangalore","1282","64% off","568"
"114","Flagship Pride Inn","14 Cross Hosur Main Road, Bangalore","1289","64% off","373"
"115","OYO Hotel Turista","Near Central Silk board, BTM Layout, Bangalore","910","67% off","1086"
"116","Super OYO Flagship Majestic Near Lalbagh Botanical Garden","Near Majestic Railway Station, Akkipete, Bangalore","1509","65% off","1158"
"117","OYO Home Leva Homes Near Baiyappanahalli Metro Station","Mahadevapura Zone, Bangalore","1236","65% off","1013"
"118","Capital O Gn Suites Near OM SHAKTHI TEMPLE","Near Sub Registrar Office, Banaswadi, Bangalore","1734","65% off","771"
"119","OYO Townhouse 093 Ramamurthy Nagar Near Baiyappanahalli Metro Station","Near Ramamurthy Nagar Signal, Bangalore,Karnataka","1901","65% off","769"
"120","Collection O 812451 The Grand Budget Hotel","Karnataka , Bangalore","1536","67% off","93"
"121","Flagship My Own Nest Near Ragigudda Sri Prasanna Anjaneyaswamy Temple","Near Srinivasa Temple, Bangalore","1342","65% off","223"
"122","OYO Flagship 5590 Ujwal Residency","Near Indian Oil Petrol Bunk, Divanarapalya, Bangalore","1179","67% off","20"
"123","OYO Flagship 810304 New Pavithra Paradise","No 462 3rd Phase 3rd Block Havanur Circle Basaveshwaranagar Bangalore, Bangalore","1071","64% off","278"
"124","OYO Sri Sai Guru Comforts","Near Kodigihalli Gate, Byatarayanapura, Bangalore","1159","65% off","75"
"125","Flagship Elite Stay Near Ragigudda Sri Prasanna Anjaneyaswamy Temple","Jp Nagar, Bangalore","1392","65% off","14"
"126","SPOT ON 810681 Vasavi Residency","Bangalor, Bangalore","725","70% off","27"
"127","OYO Flagship 810484 Royal Galaxy Lodge","05th road cross Iblur bus stop. opposite Colombia asia hospital.sarjapur outer ring road. , Bangalore","743","72% off","661"
"128","Capital O 70991 Prime Square ","Centrally Located, Near Kalyan Nagar Bus Stand, 1st stage, Bangalore","1377","65% off","231"
"129","OYO Royal Residency Near Hare Krishna Hill","Near Taj Yeshwantpur, M S K Nagar, Bangalore","1088","65% off","254"
"130","OYO 8501 ABHIMAANI COMFORTS","Kanakpura main road metro pillar number 45 nearby Banashankari metro station JP Nagar","1403","65% off","271"
"131","Flagship S M Residency Near Mysore Road Metro Station","Nagarbhavi, Bangalore","1276","64% off","14"
"132","Flagship Sree Nandanam Residency","Bengaluru, Bangalore","1014","67% off","837"
"133","OYO Townhouse 076 Hebbal","Dasarahalli, Bangalore","1950","65% off","514"
"134","Super OYO Exotica Hotels Near Ragigudda Sri Prasanna Anjaneyaswamy Temple","Near Jayadeva Flyover, BTM Layout, Bangalore","1876","64% off","126"
"135","OYO Flagship V R Residency Near Sri Amruth Chithra Mandira","Centrally Located, Near 4th block, HBR Layout, Bangalore","1398","65% off","96"
"136","Collection O 62387 Emara Grand Hotel","H S R Layout, Bangalore","2489","65% off","8"
"137","OYO Flagship 80878H Century Gardens","Bengaluru, Bangalore","1412","65% off","203"
"138","Hotel Telehaus International Near Lalbagh Botanical Garden","Near Karnataka Bank, Shanti Nagar, Bangalore","2099","65% off","99"
"139","OYO Townhouse 078 DODDA BANASWADI","Near Udupi Upachar, Lakshmamma Layout, Bangalore","2082","65% off","287"
"140","Flagship Hotel Amster Inn","Near Mysore RD. Metro Station, FCI Layout, Bangalore","1500","65% off","1"
"141","Collection O 812391 Sri Skanda Inn","Venugopal Reddy Layout, Bangalore","1384","67% off","4"
"142","Collection O B Six Hotel","Kalasipalyam Main Road, Bangalore","2392","65% off","159"
"143","OYO Flagship 810923 Hotel Shiva International","Bangalore, Bangalore","1286","68% off","13"
"144","Collection O Fortune Rooms","Karnataka , Bangalore","1538","65% off","14"
"145","Collection O Ira International Boutique Hotel","India, Bangalore","2211","65% off","7"
"146","OYO Flagship 81138 Gm royals","Karnataka, Bangalore","643","69% off","13"
"147","Collection O Metro O Comforts","JP Nagar Metro Station, JP Nagar, Bangalore","1566","65% off","23"
"148","OYO Flagship 810805  My Own Nest II Ramamurthy Nagar","Devki Apparao Layout, Bangalore","1442","67% off","90"
"149","Palette - Hotel Metro View Inn","India, Bangalore","2601","47% off","9"
"150","OYO Flagship 69693 The Royal Park ","Near OYE Amritsar, New Tippasandra, Banglore","2339","65% off","1"
"151","OYO Flagship 44601 Cloud Stay","Near Sai Baba Temple, Kudlu Gate, Bangalore","1773","65% off","417"
"152","Collection O 809961 New Royal Serenity Inn","India , Bangalore","1772","65% off","1248"
"153","Super OYO Flagship Archana Inn Near Lalbagh Botanical Garden","Near Minerva Circle, JC Road, Bangalore","1189","65% off","137"
"154","Collection O Premium Eden Au Lac Near Sri Someshwara Swami Temple","Near Indiranagar Police Station, Indiranagar, Bangalore","1953","64% off","200"
"155","OYO Flagship 92604 Sp Residency Near Ragigudda Sri Prasanna Anjaneyaswamy Temple","Btm 2nd Stagenull, Bangalore","890","73% off","185"
"156","OYO Flagship NR Residency Near Nexus Mall Koramangala","Near Teacher's colony Park, Jakkasandra, Bangalore","1050","76% off","249"
"157","OYO Flagship 7558 Galaxy Inn","Shivaji Nagar, Bangalore","1781","65% off","63"
"158","OYO Nr Royal Near Nexus Mall Koramangala","Sector 6, HSR Layout Ward, Bommanahalli Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka","1272","65% off","1273"
"159","OYO Flagship 13043 SREE SAI SUITES","Near SBI Bank, RT Nagar Main Road, Bangalore","1672","65% off","2372"
"160","Super OYO Flagship Olivia Comforts Near Nexus Mall Koramangala","Near Eat Street, Kormangala, Bangalore","2717","67% off","4151"
"161","Super OYO Collection O Compact Green View Near Nexus Mall Koramangala","Near Ejipura Bus stand, Ashwini Layout, Bangalore","598","71% off","1101"
"162","Super OYO Flagship Varcity Phi Premium Pavilion Near Ragigudda Sri Prasanna Anjanayeswamy Temple","B T M Layout, Bangalore","1361","64% off","1995"
"163","Flagship White Fort Near Lalbagh Botanical Garden","Dispensary Rd, Kalasipalya,Bangalore","572","68% off","1762"
"164","Capital O Elegant Amethyst Business Hotel Near Ragigudda Sri Prasanna Anjaneyaswamy Temple","5th Block, Jayanagar, Bangalore","576","72% off","1434"
"165","Super OYO Hotel Subha Residency Near Cubbon Park","Majestic, Bangalore","677","75% off","431"
"166","Capital O Victorian Comforts Near Sri Someshwara Swami Temple","Near Adams Creation, Victoria Layout, Bangalore","581","75% off","165"
"167","Flagship Hotel Gurudev Residency Near Cubbon Park","Gandhi Nagar, Bangalore","1519","65% off","1004"
"168","SPOT ON Hotel Sri Thirumala Lodge","Opp BHEL, Bangalore","960","67% off","888"
"169","Collection O Naidu Palace Near Iskcon Temple Bangalore","Near Dhobi Ghat junction, Rajajinagar, Bangalore","1066","67% off","103"
"170","Super OYO Townhouse 258 Spruce Hotels Bellandur","Bellandur, Bangalore","819","67% off","129"
"171","Collection O 808132 Status Suites","Bangalore , Bangalore","768","67% off","798"
"172","OYO Exotic Stay Bg Road","Bangalore Urban, Bangalore","699","80% off","2919"
"173","SPOT ON A Class Suites Near Hare Krishna Hill","Bangalore Urban, Bangalore","599","76% off","943"
"174","OYO Varcity Park Near Ragigudda Sri Prasanna Anjaneyaswamy Temple","Near SV Hospitals, Madiwala, Bangalore","576","77% off","562"
"175","Flagship Aayush Corporate Stays Near Nexus Mall Koramangala","Near Maharaja Signal, Kormangala, Bangalore","576","67% off","709"
"176","OYO Shree Mookambika Guest House Near Sri Someshwara Swami Temple","Kormangla, Bangalore","549","72% off","1086"
"177","OYO Corner Golf View Near Sri Someshwara Swami Temple","Domlur, Bangalore","808","74% off","1320"
"178","Home Shiva Shakthi Inn Near Ragigudda Sri Prasanna Anjaneyaswamy Temple","J P Nagar, Bangalore","899","65% off","2881"
"179","Super OYO Hotel Resida Elite Service Apartments Near Sri Someshwara Swami Temple","Near Domlur Bridge, Indiranagar, Bangalore","1049","67% off","140"
"180","Super OYO Townhouse 610 Derawal Nagar","Near Vinayak Hoptiat, Gujranwala Town, Delhi","2011","65% off","3508"
"181","OYO Shubh Guest House","C1/64 Main Sarvice Road Soniya Vihar 3 Rd Pusta, Delhi","1002","65% off","337"
"182","OYO Townhouse 868 Dream Connect Near TDI Mall","Wz-3 Opp Pillor No 322 Moti Nagar Delhi, Delhi","1282","64% off","61"
"183","OYO Blue Diamond Near Jahangirpuri Metro Station","Opp. Metro Pillar No. 102, Near Sai Baba Mandir, Adarsh Nagar, Delhi","921","67% off","864"
"184","Flagship Hotel Diamond Tree","New Delhi, Delhi","1252","65% off","848"
"185","OYO The Chill Palace Near Haiderpur Metro Station","North West Delhi, Delhi","1552","67% off","4273"
"186","Flagship The Mayur Hotel ","Tri Nagar, Delhi","1441","67% off","170"
"187","OYO Hotel Landmark Inn","Near Karol Bagh Metro Station","576","67% off","249"
"188","Flagship Hotel Happy Moments","Near Divine Hospital, Delhi","759","67% off","735"
"189","Collection O Radisson Blue Hotel Nearby Khajuri chowk-Signature Bridge","Bhajanpura, Delhi","643","69% off","427"
"190","Flagship Kashish Residency Near Model Town Metro Station","Ashok Vihar-3, Delhi","1048","67% off","180"
"191","OYO Flagship 812491 Hotel Siddhartha Guest House","Seelampur, Delhi","811","68% off","75"
"192","OYO Hotel New Tech India","Near Jhandewalan, Nai Walan, Delhi","845","67% off","23"
"193","Flagship Sr Residency Near CCD","Block B, Delhi","549","69% off","49"
"194","OYO Home Hotel New Singh Near Adarsh Nagar Metro Station","Near Metro Pillar No 103, Delhi","899","77% off","342"
"195","OYO 81212 White House Residency Near Haiderpur Metro Station","108,Street Number 3, Shalimar Bagh Village, New Delhi","839","67% off","168"
"196","OYO Flagship 810701 Mayura Residency","Maharam Mohalla, Delhi","966","67% off","2171"
"197","OYO Townhouse 816 The Diamond Tree Near Dilshad Garden Metro Station","D-75 near dilshad garden metro station","576","73% off","1289"
"198","OYO Hotel Prince Near Haiderpur Metro Station","Haiderpur Village, Delhi","666","67% off","769"
"199","Flagship Hotel Grow More Near Shiv Mandir","East Babarpur, Delhi","951","67% off","610"
"200","Super OYO Townhouse 057 Gujranwala Town Near Azadpur Metro Station","Tehsil, Delhi","996","67% off","545"
"201","OYO Hotel J Joy","MAIN FAIZ ROAD  Above SBI BANK), KAROL BAGH","1321","70% off","1807"
"202","OYO Hotel Sun City Near Gurudwara Shri Bangla Sahib","Near Karol Bagh, Channa Market, Delhi","799","73% off","103"
"203","OYO Sushma Ssadan","Sawan Park Ashok Vihar Phase 3 Model Town Tehsil, Delhi","1384","67% off","15"
"204","OYO Flagship 2064 Hotel The Spot","New Delhi, Delhi","599","66% off","118"
"205","OYO Hotel City Castle","Near Karol Bagh, Nai Walan, Delhi","916","67% off","17"
"206","Flagship Hotel S Inn","Paharganj New Delhi, Delhi","575","72% off","11"
"207","OYO Flagship 81012 S P Rooms","Mahendra Park, Delhi","1768","65% off","148"
"208","OYO Kochar Plaza Near Satyam Inox Patel Nagar","Near Liberty Cinema, New Rohtak Rd, Delhi","1084","67% off","43"
"209","OYO Flagship 810341 Hotel Royal Plaza","wz 523/1 bali nagar extension, Delhi","1794","65% off","7"
"210","Collection O 811864 Hotel Aura Stay","Paharganj, Delhi","776","67% off","62"
"211","Flagship Hotel Happiness Inn Near Tdi Mall","Karampura, Delhi","1236","67% off","4"
"212","OYO Flagship 810642 Hotel KD Homes","wazirabad near book shop opposite mohalla clinic Delhi, Delhi","1115","67% off","36"
"213","OYO Ms Residency","Near to Aarash nagar metro station pillar no:-104, Delhi","1490","67% off","65"
"214","OYO Flagship 35359 Hotel Victoria Dx","Near New Delhi Railway Station, Delhi","851","67% off","17"
"215","OYO 811030 Ocean Guest House","Brij Puri, Delhi","1156","67% off","28"
"216","OYO Flagship 81042 Step Inn International","Delhinull, Delhi","1152","67% off","2"
"217","Flagship Hotel Sun Shine","Shakarpur Main Market, Delhi","1005","67% off","913"
"218","OYO Flagship 811700 Hotel Iconiic Residency Inn","Old Rajendra Nagar delhinull, Delhi","1156","67% off","325"
"219","OYO Flagship 811671 Hotel Swagat Dx","New Delhi, Delhi","910","67% off","310"
"220","OYO 78699 Hotel Klick International",", Delhi","807","70% off","28"
"221","Collection O Hotel Ambience Near Gurudwara Shri Bangla Sahib","Near New Delhi Railway Station, Delhi","583","67% off","197"
"222","OYO Hotel Delhi Delight Near Sarai Rohilla Railway station","Near Sarai Rohilla Railway Station, Delhi","1996","64% off","102"
"223","Flagship Hotel V K Stay","Aarakashan Road  near Delhi Railway Station), Delhi","1360","65% off","1036"
"224","OYO Kl Khari Near Satyam Inox Patel Nagar","Industrial Area, Delhi","899","69% off","992"
"225","OYO Shoolin Residency Near M2k Cinemas Rohini","Near M2k Cinema, Delhi","770","66% off","3198"
"226","Flagship Dream Inn Near Akshardham","Chander Vihar Near Aggarwal Sweets East Delhi, Delhi","651","71% off","17"
"227","OYO Townhouse 511 Prakash continental Near Netaji Subhash Place Metro Station","Netaji Subash Palace, Delhi","1670","65% off","651"
"228","OYO Hotel Sun Palace","Karol Bagh, Delhi","1000","67% off","787"
"229","OYO Townhouse 118 Gagan Vihar Near V3S Mall","Near RG Stone hospital , Hargobind Enclave, Delhi","1004","67% off","10"
"230","OYO Flagship 80769 Seven Heaven ","B-54 Lawrence Road Industrial Area Near Lawrence Road, Delhi","1670","65% off","311"
"231","Capital O Season Grand Near Pitampura metro station","Near Pitampura metro station","799","79% off","560"
"232","OYO 74596 Dream Town Near V3S Mall","Shahdara, Delhi","1444","67% off","389"
"233","OYO Flagship 812357 Hotel Landmark Deluxe","Karol Bagh, Delhi","2101","65% off","18"
"234","Flagship King Stay Near Tdi Mall","Block N, Delhi","1414","67% off","113"
